Network,Station,Channel,PGA_cm_s2,PGV_cm_s,PGD_cm,Arias_Intensity_m_s,SIG_BMKG
IA,BBJM,HNE,0.6897,0.0144,0.0016,0.0006,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BBJM,HNN,0.7556,0.0222,0.0032,0.0008,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BBJM,HNZ,0.3409,0.0105,0.0014,0.0003,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BBJR,HNE,0.633,0.0254,0.0022,0.0074,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BBJR,HNN,0.7098,0.037,0.0024,0.0015,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BBJR,HNZ,0.378,0.0104,0.0018,0.0012,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BMBNG,HNE,0.2494,0.0159,0.0234,0.0004,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BMBNG,HNN,0.2969,0.0166,0.0228,0.0004,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BMBNG,HNZ,0.1273,0.0159,0.021,0.0003,I - TIDAK DIRASAKAN (< 2.9 gal)
IA,BOJI,HNE,6.3571,0.2767,0.0295,0.0299,II - DIRASAKAN (2.9 - 88 gal)
IA,BOJI,HNN,7.6706,0.3099,0.0152,0.0462,II - DIRASAKAN (2.9 - 88 gal)
IA,BOJI,HNZ,2.5691,0.093,0.0085,0.0127,I - TIDAK DIRASAKAN (< 2.9 gal)
